,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Columna1
2372,1.0,9113.94,1458.23,0.0,546.84,10025.33,10025.33,0.0
2373,1.0,4200.0,672.0,0.0,0.0,4872.0,4872.0,0.0
2374,1.0,15457.01,2473.12,0.0,927.42,17002.710000000003,17002.71,0.0
2375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2376,1.0,1820.95,0.0,0.0,0.0,0.0,318.0,318.0
2377,1.0,1820.95,291.35,0.0,0.0,2112.3,2112.3,0.0
2378,1.0,62.27,9.96,0.0,0.0,72.23,72.23,0.0
2379,1.0,815.02,130.4,0.0,0.0,945.42,945.42,0.0
2380,1.0,343.06,54.89,0.0,0.0,397.95,397.95,0.0
2381,1.0,20858.37,3337.34,0.0,24.141777845777234,22944.21,22944.21,0.0
2382,1.0,9222.29,1475.57,0.0,0.0,10697.86,10697.86,0.0
2383,1.0,2715.0,434.4,0.0,0.0,3149.4,3149.4,0.0
2384,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0,0.0
2385,1.0,3251.25,520.2,0.0,0.0,3771.45,3771.45,0.0
2386,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2387,1.0,28.82,4.61,0.0,0.0,33.43,33.43,0.0
2388,1.0,22259.63,0.0,0.0,0.0,22259.63,22259.63,0.0
2389,1.0,144.0,0.0,0.0,0.0,144.0,144.0,0.0
2390,1.0,24.7,3.95,0.0,0.0,28.65,28.65,0.0
2391,1.0,140.0,22.4,0.0,0.0,162.4,162.4,0.0
2392,1.0,160.0,25.6,0.0,0.0,185.6,185.6,0.0
2393,1.0,44.88,7.18,0.0,0.0,52.06,52.06,0.0
2394,1.0,21.04,3.37,0.0,0.0,24.41,24.41,0.0
2395,1.0,4080.0,652.8,0.0,0.0,4732.8,4732.8,0.0
2396,1.0,1770.0,283.2,0.0,0.0,2053.2,2053.2,0.0
2397,1.0,6738.62,1078.18,0.0,0.0,7816.8,7816.8,0.0
2398,1.0,81.84,13.1,0.0,0.0,94.94,94.94,0.0
2399,1.0,3603.75,576.6,0.0,0.0,4180.35,4180.35,0.0
2400,1.0,5067.42,810.79,0.0,0.0,5878.21,5878.21,0.0
2401,1.0,652.41,101.61,0.0,0.0,754.02,754.02,0.0
2402,1.0,20522.31,0.0,0.0,0.0,20522.31,20522.31,0.0
2403,1.0,500.0,80.0,0.0,0.0,580.0,580.0,0.0
2404,1.0,3180.0,508.8,0.0,0.0,3688.8,3688.8,0.0
2405,1.0,1068.0,170.88,0.0,0.0,1238.88,1238.88,0.0
2406,1.0,621.58,99.45,0.0,0.0,721.0300000000001,721.03,0.0
2407,1.0,250.0,0.0,0.0,0.0,250.0,250.0,0.0
2408,1.0,3128.0,500.48,0.0,0.0,3628.48,3628.48,0.0
2409,1.0,0.0,0.0,0.0,0.0,0.0,2334.45,2334.45
2410,1.0,0.0,0.0,0.0,0.0,0.0,2211.25,2211.25
2411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2413,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0,0.0
2414,1.0,3660.0,585.6,0.0,0.0,4245.6,4245.6,0.0
2415,1.0,232.66,37.22,0.0,0.0,269.88,269.88,0.0
2416,1.0,193.71,30.99,0.0,0.0,224.70000000000002,224.7,0.0
2417,1.0,343.96000000000004,55.03,0.0,0.0,398.99,398.99,0.0
2418,1.0,350.0,56.0,0.0,0.0,406.0,406.0,0.0
2419,1.0,2640.0,422.4,0.0,0.0,3062.4,3062.4,0.0
2420,1.0,187.2,29.95,0.0,0.0,217.14999999999998,217.15,0.0
2421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,1.0,1360.78,217.72,0.0,0.0,1578.5,1578.5,0.0
2423,1.0,395.83,63.34,0.0,0.0,459.16999999999996,459.17,0.0
2424,1.0,3250.0,520.0,0.0,0.0,3770.0,3770.0,0.0
2425,1.0,7003.39,1120.54,0.0,420.2,7703.7300000000005,7703.73,0.0
2426,1.0,134.57,21.53,0.0,0.0,156.1,156.1,0.0
2427,1.0,3400.0,544.0,0.0,0.0,3944.0,3944.0,0.0
2428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,1.0,14624.0,2339.84,0.0,877.44,16086.4,16086.4,0.0
2430,1.0,9400.0,1504.0,0.0,0.0,10904.0,10904.0,0.0
2431,1.0,1428.0,228.48,0.0,0.0,1656.48,1656.48,0.0
2432,1.0,1775.67,284.1,0.0,0.0,2059.77,2059.77,0.0
2433,1.0,1367.29,218.76,0.0,0.0,1586.05,1586.05,0.0
2434,1.0,20858.37,3337.34,0.0,24.141777845777234,22944.21,22944.21,0.0
2435,1.0,1606.0,256.96,0.0,0.0,1862.96,1862.96,0.0
2436,1.0,944.8,151.17,0.0,0.0,1095.97,1095.97,0.0
2437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2438,1.0,2670.87,0.0,0.0,0.0,2670.87,2670.87,0.0
2439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,1.0,2429.7998379541914,426.2730216814529,0.0,0.0,2723.456093561184,3027.020691537761,0.0
2441,1.0,2361.0,377.76,0.0,0.0,2738.76,2738.76,0.0
2442,1.0,6660.0,1065.6,666.0,710.4,6349.200000000001,6349.2,0.0
2443,1.0,144.0,0.0,0.0,0.0,144.0,144.0,0.0
